Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au;Qt.A;Affidabilita;Gf_per_90;Ass_per_90;Gs_per_90;Disciplina;Au_per_90;Indice_Rigorista
4177;D;"Dd;Dc";Pavard;Inter;22;6,05;6;0;0;0;0;0;0;1;4;0;0;7;0.5789473684210527;0.0;0.045454545454545456;0.0;-0.09090909090909091;0.0;0.0
4751;D;Dc;Tomori;Milan;18;5,86;5,81;0;0;0;0;0;0;1;2;1;0;7;0.47368421052631576;0.0;0.05555555555555555;0.0;-0.2222222222222222;0.0;0.0
5764;D;Dc;Coppola D.;Verona;33;5,8;5,86;2;0;0;0;0;0;1;10;0;0;7;0.868421052631579;0.06060606060606061;0.030303030303030304;0.0;-0.15151515151515152;0.0;0.0
5695;D;"Ds;E";Haps;Venezia;22;5,86;5,98;1;0;0;0;0;0;1;3;0;0;7;0.5789473684210527;0.045454545454545456;0.045454545454545456;0.0;-0.06818181818181818;0.0;0.0
6531;D;"Dd;Ds;E";Jimenez A.;Milan;21;5,95;5,83;0;0;0;0;0;0;0;6;0;0;7;0.5526315789473685;0.0;0.0;0.0;-0.14285714285714285;0.0;0.0
2640;D;"B;Ds;E";Kolasinac;Atalanta;23;6,13;5,98;0;0;0;0;0;0;2;7;0;1;6;0.6052631578947368;0.0;0.08695652173913043;0.0;-0.15217391304347827;0.043478260869565216;0.0
5701;D;Dc;Obert;Cagliari;19;5,95;6,05;1;0;0;0;0;0;1;4;0;0;6;0.5;0.05263157894736842;0.05263157894736842;0.0;-0.10526315789473684;0.0;0.0
418;D;Dc;Goldaniga;Como;30;5,83;5,73;1;0;0;0;0;0;0;10;1;0;6;0.7894736842105263;0.03333333333333333;0.0;0.0;-0.26666666666666666;0.0;0.0
5527;D;"Dd;E";Zanoli;Genoa;27;5,91;5,96;1;0;0;0;0;0;0;3;0;0;6;0.7105263157894737;0.037037037037037035;0.0;0.0;-0.05555555555555555;0.0;0.0
4904;D;Dc;Mari';Fiorentina;32;5,84;5,75;0;0;0;0;0;0;0;4;1;0;6;0.8421052631578947;0.0;0.0;0.0;-0.15625;0.0;0.0
6642;D;Dc;Coco;Torino;32;5,86;5,83;2;0;0;0;0;0;0;10;0;1;6;0.8421052631578947;0.0625;0.0;0.0;-0.15625;0.03125;0.0
4263;D;Dc;Kabasele;Udinese;16;5,84;6,22;2;0;0;0;0;0;0;0;0;0;6;0.42105263157894735;0.125;0.0;0.0;-0.0;0.0;0.0
6047;D;"Dd;E";Ehizibue;Udinese;31;5,85;5,81;0;0;0;0;0;0;1;5;0;0;6;0.8157894736842105;0.0;0.03225806451612903;0.0;-0.08064516129032258;0.0;0.0
4816;D;"B;Dd;Ds";Emerson Royal;Milan;17;5,62;5,47;0;0;0;0;0;0;0;5;0;0;6;0.4473684210526316;0.0;0.0;0.0;-0.14705882352941177;0.0;0.0
6887;D;Dc;Leoni;Parma;17;5,85;5,88;1;0;0;0;0;0;0;3;1;0;6;0.4473684210526316;0.058823529411764705;0.0;0.0;-0.2647058823529412;0.0;0.0
6893;D;Dc;Kempf;Como;31;5,85;5,76;0;0;0;0;0;0;0;4;1;0;6;0.8157894736842105;0.0;0.0;0.0;-0.16129032258064516;0.0;0.0
5532;D;"Ds;E";Bradaric;Verona;27;5,72;5,72;1;0;0;0;0;0;0;6;0;0;6;0.7105263157894737;0.037037037037037035;0.0;0.0;-0.1111111111111111;0.0;0.0
6985;D;"Ds;Dc";Candè;Venezia;17;5,76;5,82;1;0;0;0;0;0;0;4;0;0;6;0.4473684210526316;0.058823529411764705;0.0;0.0;-0.11764705882352941;0.0;0.0
6766;D;"Ds;Dc";Kelly L.;Juventus;12;5,67;5,62;0;0;0;0;0;0;0;1;0;0;6;0.3157894736842105;0.0;0.0;0.0;-0.041666666666666664;0.0;0.0
6046;D;Dc;Hien;Atalanta;29;5,95;5,78;0;0;0;0;0;0;0;10;0;0;5;0.7631578947368421;0.0;0.0;0.0;-0.1724137931034483;0.0;0.0
6042;D;Dc;Lucumi';Bologna;32;5,83;5,7;0;0;0;0;0;0;1;8;1;0;5;0.8421052631578947;0.0;0.03125;0.0;-0.21875;0.0;0.0
487;D;"Dd;E";De Silvestri;Bologna;16;5,91;6,06;1;0;0;0;0;0;0;1;0;0;5;0.42105263157894735;0.0625;0.0;0.0;-0.03125;0.0;0.0
5435;D;"Ds;E";Moreno Alb.;Como;23;5,96;5,87;0;0;0;0;0;0;0;4;0;0;5;0.6052631578947368;0.0;0.0;0.0;-0.08695652173913043;0.0;0.0
6537;D;"Dd;Dc";Goglichidze;Empoli;33;5,76;5,71;0;0;0;0;0;0;1;3;1;0;5;0.868421052631579;0.0;0.030303030303030304;0.0;-0.13636363636363635;0.0;0.0
5603;D;Dc;Pongracic;Fiorentina;17;5,85;5,65;0;0;0;0;0;0;0;1;1;1;5;0.4473684210526316;0.0;0.0;0.0;-0.20588235294117646;0.058823529411764705;0.0
2285;D;Dc;Bani;Genoa;20;5,92;5,85;0;0;0;0;0;0;0;3;0;0;5;0.5263157894736842;0.0;0.0;0.0;-0.075;0.0;0.0
2263;D;"Dd;E";Lazzari;Lazio;22;5,89;5,86;0;0;0;0;0;0;1;3;0;0;5;0.5789473684210527;0.0;0.045454545454545456;0.0;-0.06818181818181818;0.0;0.0
